video_id,title,publishedAt,channelId,channelTitle,categoryId,video_url,trending_date,tags,view_count,likes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,channel_creation_date,channel_subscriber_count,channel_video_count,channel_description,channel_image,channel_country,channel_total_views,channel_keywords,channel_url
"234PZJQrl4Y","ОНИ ВСЕ НА КОЛËСАХ #юмор #прикол #баскетбол","2024-10-22T10:47:52Z","UCueoqMZcqVziLAh3mHx9owg","Бионическая Россия","23","https://www.youtube.com/watch?v=234PZJQrl4Y","24.22.10","шутка,юмор,прикол,баскетбол на колясках,тихий баскетбол","558724","23670","167","https://i.ytimg.com/vi/234PZJQrl4Y/default.jpg","False","False","Вот так шутка, юмор, прикол, баскетбол на колясках, тихий баскетбол","2015-03-29T15:44:53Z","268000","122","Ампутации. Протезы. Приколы.Меня зовут Константин Дебликов и это канал о киборгах и жизни с бионическими протезами.Амбассадор протезной компании Бионика 2.0 и проекта тихий!баскетболРеклама и сотрудничество: bionicrussia@auth.mediaВопросы и комплименты: https://t.me/LetterForCyborgBot","https://yt3.ggpht.com/hxUv1o52kPmqhSs_E7WjhX3XRLBc3R_MXW0lY0Ga-inbAEiJo2219Aijrq1_HlHBc57Nm3MDiw=s88-c-k-c0x00ffffff-no-rj","N/A","162992422","N/A","https://www.youtube.com/channel/UCueoqMZcqVziLAh3mHx9owg"
"a8CuaJM3HQ4","Ситуация Гриша, девочки!!!! #машмилаш","2024-10-21T20:34:31Z","UC4cLWAcguHoNYAY7EtecQjA","МАШ МИЛАШ","22","https://www.youtube.com/watch?v=a8CuaJM3HQ4","24.22.10","[none]","1000674","63295","384","https://i.ytimg.com/vi/a8CuaJM3HQ4/default.jpg","False","False","","2014-08-12T16:33:50Z","1480000","482","По вопросам рекламы и сотрудничества 89160006855 (Telegram)Привет, я Маш Милаш! и я снимаю свою жизнь на камеру) влоги, пранки, разговорные видео и мой любимый реп.ПОДПИШИСЬ НА МАШ МИЛАШ:___ ТЕЛЕГРАМ КАНАЛ : https://t.me/mash_milash_tg___ ВК : vk.com/mash_milash___ inst:  @mash_milash_hub___ Официальная группа ВК:https://vk.com/milash","https://yt3.ggpht.com/pSaUlYH19ke0xKemcVOM0D8Z2sghKMYhS4eAb1O9JExA5CxQ8m-PBCUt6SqO1qeoR0kub2vvvg=s88-c-k-c0x00ffffff-no-rj","RU","647209600","милаш рэп маш милаш милаш милаша милашка милаш клубится милаш танцует милаш реп влоги vlog lifestile разговорные видео кавер милаш милаш батл милаш ветер перемен милаш данилей милаш danileigh милаш влог маш милаш маш милаш песня маш милаш песни twitch стрим маш милаш стрим маш милаш пермь","https://www.youtube.com/channel/UC4cLWAcguHoNYAY7EtecQjA"
"8uQ8Z5MyDBw","impossible lungs test !! 🫁","2024-10-21T16:13:04Z","UCpWaR3gNAQGsX48cIlQC0qw","Tibo InShape","24","https://www.youtube.com/watch?v=8uQ8Z5MyDBw","24.22.10","tibo inshape,teamshape","3475772","201681","3707","https://i.ytimg.com/vi/8uQ8Z5MyDBw/default.jpg","False","False","Protéine Whey et créatine Inshape Nutrition ►https://bit.ly/2M9v9QVMon application de sport ShapeYou ►https://shapeyou.frMes programmes sportifs ►https://bit.ly/2TDimHNClique ici pour t'abonner ► http://bit.ly/1qAbjhL & rejoins la TeamShape !Ecris-moi sur : TWITTER : http://bit.ly/1o88uUVINSTAGRAM : http://bit.ly/1Q4RInr (tiboinshape)SNAPCHAT : tiboinshapeTIKTOK : tiboinshapeFACEBOOK : http://on.fb.me/1EcbKmeSPOTIFY : Tibo InShape - Motivation (playlist)TWITCH : TiboInshapeLiveCadrage : Tone Shoot Montage : Clémence DurandMiniature : Julien EgeaMon adresse postale : Tibo InshapeCS 5207281012 ALBI CEDEXMon e-mail (business uniquement) ► tiboinshapevideo@gmail.comSi vous lisez cette phrase écrivez « DAAMN » en commentaire !","2008-08-15T07:35:10Z","24800000","4121","Subscribe For New Videos Every Day !My name is Tibo Inshape from France 🇫🇷I love fitness and fun ! Welcome to my channel and let's motivate the world to get in Shape !MAIL : (Business contact UNIQUEMENT) : tiboinshapevideo@gmail.com","https://yt3.ggpht.com/0smoTFWkD8_fdsVOufWaLoTkwL83At9iBk0y2JA3O4DMJQSfBKMR2y1cnSxEuxkCIMDMcOpwmQ=s88-c-k-c0x00ffffff-no-rj","FR","17788008951","musculation Fitness nutrition diète régime fitness prise de masse sèche abdos aesthetics bodybuilding training nutrition and fun muscu tibo inshape juju fit cats tibo juju teamshape crossfit fun reaction famille voyage découverte vlog aventure boxe tibo boxe sport tibo inshape bodybuilding tibo inshape","https://www.youtube.com/channel/UCpWaR3gNAQGsX48cIlQC0qw"
"FBwS19joFxk","Слава КПСС — о свадьбе, дружбе с OG Buda, зависимости и новом лучшем альбоме","2024-10-22T10:04:50Z","UCj7bSQWlq2O4lhGxGll5SUA","ВПИСКА","22","https://www.youtube.com/watch?v=FBwS19joFxk","24.22.10","слава кпсс,слава кпсс интервью,слава гнойный,гнойный интервью,слава кпсс и og buda,слава кпсс про оджи буда,слава кпсс новый альбом,вписка,вписка интервью,вписка слава кпсс","618064","29562","2373","https://i.ytimg.com/vi/FBwS19joFxk/default.jpg","False","False","Яндекс Браузер со Сплитом: https://clck.ru/3E6icH Если идеальный перекус – то только с ветчиной Индилайт из филе индейки! Индилайт – в пользу счастья! https://clck.ru/3E6pAC Совершенно новая VK Музыка за 0 рублей на 3 месяца: https://vk.cc/cBIYyu Слава КПСС – легенда батл-рэпа, переживающий в 2024 году новый пик популярности. Почему Слава записал свой самый откровенный альбом? Как расстался, помирился и женился на Саше Куромушке? Избавился ли он от зависимости? Может ли он существовать без Оксимирона* и за что он ему благодарен? Как Слава подружился с OG Buda? Почему Вася с Колей больше не в «Антихайпе»? А еще: смотрим квартиру Славы и разыгрываем его картину.Слава КПСС — «Россия 34»: https://music.thefence.me/rossiya34По вопросам сотрудничества и рекламы: mail@vpiska.tvВписка в ТГ — https://t.me/vpiskashow   00:00 Погнали!01:29 Мы — в квартире Славы и его жены Саши!02:18 Рум-тур с интерактивом для Васи04:07 Слава назвал кота в честь Киркорова05:30 «Хотел сделать альбик, как книгу» — Слава повторяет за Оксимироном*?06:21 Три безумных истории про Киркорова07:54 Слава КПСС извиняется перед Есениным за барс в легендарном баттле10:32 «На этот альбом меня вдохновил Guf». А чем?13:27 «Всегда стеснялся умных людей». Кого именно?15:27 Повторили путь Дудя* и узнали, кто теперь живет в квартире Славы16:30 Почему успех Меллстроя понятен, а Зубарева — нет19:24 Слава КПСС стебет Бустера, но хвалит его трек22:38 Слава о том, испортили ли его деньги24:43 «Была классовая ненависть» — об отношении к богатым25:50 Что Слава никогда себе не купит?28:36 Рекордные траты и гонорары Славы29:22 Смотрим Славину студию, а Вася тапает хомяка30:31 Кто вдохновил Славу на трек «Биография»? Этот герой бы на «Вписке»31:55 Как Сергей Лукьяненко не понял строчку Славы33:35 Мрачные истории о блатных понятиях в школе35:29 Как дети в Хабаровске отправляли деньги на зону37:53 Слава в треках упоминает погибшего друга. Мы узнали его историю41:18 Мы — у 1703! И Слава вспомнил, как тут дрался42:46 «У меня нет на это сил!» — почему он больше не батлит44:02 Слава был близок к возвращению в батл-рэп. Что помешало?45:32 Пришли в легендарное место со Славой и Букером46:26 Федя и Слава ностальгируют по батлам и ругают Versus48:42 Почему публика Versus расстроила Оксимирона*49:38 Кто победил бы в батле: OG Buda или Obladaet?51:25 «Он похож на меня пятилетней давности» — о дружбе с OG Buda53:56 Дикая история про кружочек от Yung Trappa56:07 Оксимирон* — нормис? 57:05 Слава КПСС без постиронии благодарит Мирона*58:51 Почему фрешмены не любят Окси*1:02:23 Как Слава понял, что популярен? Помогла сосиска1:04:13 Капибары и фото со свадьбы: смотрим комнату спальню1:05:06 Как Слава познакомился с Сашей1:07:38 Пара расставалась на год: почему?1:08:54 Приехали к ребе, где лечился Слава КПСС1:10:19 Слава несколько раз хотел сбежать: почему остался?1:10:51 Правда ли, что он спустил на дерьмо целую квартиру1:12:02 Слушаем дикую историю про гирю в деревенском туалете1:12:49 Саша ушла от Славы из-за его проблем с зависимостью?1:15:26 «Жизнь надо чем-то наполнить»: почему Паша Техник не может слезть1:16:40 Расставание, рехаб и пожар — кошмарный 2020й1:17:54 Как Слава и Саша возобновили общение из-за пожара1:21:05 Неадекватные букеты и «сталкеринг»: как Слава ухаживал за Сашей1:22:53 Вероника Степанова и Моргенштерн*: смотрим домашнюю студию 1:24:24 Как Замай повлиял на популярность Славы1:27:13 Друзья Славы: OG Buda, Slava Marlow и питерские поэты1:28:03 «Переступить через говно»: вспоминаем первый концерт Антихайпа1:29:06 Зачем Nkeeei «обналичил» отношения1:30:56 Топ-3 лучших рэпера1:31:18 Как Слава отреагировал на конфликт 52 и Замая1:32:12 Почему Скриптонит слабый текстовик1:35:16 Слава КПСС улучшает строчки других рэперов1:38:42 Как запои отца сказались на Славе и семье1:40:39 Была ли у него обида на папу?1:44:38 За что Слава корил себя после ухода отца1:45:42 Хочет ли Слава детей? И почему детство — худшее время1:48:09 Как он провёл бы еще одну минуту с папой?1:49:31 Почему Вася и Коля больше не в «Антихайпе»1:50:35 Зачем сестра Славы делает ролики с приёмной дочерью1:54:11 Слава и диссы: он больше их не пишет?1:54:50 Какая батловая строчка задела Славу? Вы удивитесь1:55:18 Комплиментарный батл с главными оппами1:57:55 Слава повзрослел?1:58:27 Зачем Слава организовал концерт в поддержку жителей Курской области2:00:37 Каким история должна запомнить Славу КПСС2:02:00 Слава — счастливый человек?2:02:26 «Справедливости хочется!»: Славу КПСС не признают?2:05:47 Конкурс! Разыгрываем картину Славы КПСС!2:06:51 Бонус: философская теория о черепашках-ниндзя*Oxxxymiron, Моргенштерн и Юрий Дудь признаны в РФ иноагентамиРеклама. ООО «ЯНДЕКС» ИНН 7736207543 erid: 2Vtzqwr2ShqРеклама. ООО «Новые Фермы» ИНН 5827901723 erid: ​​2Vtzqxc2C7VРеклама. ООО «Авиасейлс Медиа» ИНН 9710069050 erid: 2VtzqwdiLp3Реклама. ООО «В Контакте» ИНН 7842349892 erid: 2VtzqvJUFdu","2017-05-29T15:35:18Z","2490000","201","Вася и Коля ходят в гости к звездам!по вопросам размещения рекламы: mail@vpiska.tvVK_DMCA","https://yt3.ggpht.com/-6buJMSS0xulMdW5C05iueacDFJO5S_-mz4dURy8rYBnA30oW4F3MVKQjE4R5sgfFCxPHBbZ0Q=s88-c-k-c0x00ffffff-no-rj","RU","475656692","Вписка шоу Вписка интервью рэп","https://www.youtube.com/channel/UCj7bSQWlq2O4lhGxGll5SUA"
"jCWDTiP1Nac","Секрет ранних подъемов раскрыт🤫⏰#юмор #shorts #блог","2024-10-22T05:56:23Z","UCoN_M7MUBdD0T-r50ZHSRAQ","Elena Bogdanovich","26","https://www.youtube.com/watch?v=jCWDTiP1Nac","24.22.10","[none]","175186","5926","78","https://i.ytimg.com/vi/jCWDTiP1Nac/default.jpg","False","False","✔ Telegram: https://t.me/bogdanovich_elena/✔ IG: @bogdanovich.elena✔ VK: https://vk.com/elena_bogdanovich💄 ОБУЧЕНИЕ МАКИЯЖУ: https://bogdanovich.ru/","2016-11-14T07:34:55Z","448000","716","Визажист | ИнфлюенсерБуду рада видеть Вас в числе своих подписчиков ❤️Обучение Online: https://bogdanovich.ruПредложения по сотрудничеству: pr@bogdanovich.ruTelegram: https://t.me/bogdanovich_elena/","https://yt3.ggpht.com/FYeBWThGcAJWa-_oCJxKnTt8bKWmdeaaUFYOEHmtVWf6MzPQgx6ppSV1pwgaaWO5Hmat6CWX=s88-c-k-c0x00ffffff-no-rj","RU","92941009","макияж косметика обзоры косметики бьюти блогер обучение макияжу Елена Богданович Визажист школа макияжа красота Стиль makeup","https://www.youtube.com/channel/UCoN_M7MUBdD0T-r50ZHSRAQ"
"htEBnXbhAaI","НОВАЯ LADA AURA. УДИВИТЕЛЬНЫЙ ПРЕМИУМ.","2024-10-22T09:11:40Z","UCEVNTzTFSGkZGTjVE9ipXpg","AcademeG DailyStream","15","https://www.youtube.com/watch?v=htEBnXbhAaI","24.22.10","ЛАДА,АУРА,ОБЗОР,тест-драйв","530172","25887","4449","https://i.ytimg.com/vi/htEBnXbhAaI/default.jpg","False","False","*Купить набор для создания картины нитью RingString:* https://ringstring.ru/?utm_source=academeg&utm_medium=1024 *Промокод: ACADEMEG - скидка 15% на весь заказ* *Создай свой шедевр нитью из фото под расслабляющую инструкцию*Телеграм Каналhttps://t.me/academeg_true_originalКанал с ШОРТСАМИhttps://www.youtube.com/channel/UCOz273vVx0_3IdqfTYIJNYQПО вопросам рекламы и сотрудничества:academeg@a-proved.ruМой канал стримов:https://www.youtube.com/c/AcademeGDai...Instagram:https://instagram.com/academegВконтакт:http://vk.com/AcademeGAcademeG тру ориджинал групп:http://vk.com/academeg_reviewsФтарой канал:https://www.youtube.com/user/AcademeG...TikTokhttps://www.tiktok.com/@academeg.offi...Автохимия Suprotec-Aprohim:https://suprotec.ru/Реклама. ООО БИБИЭЙ ГРУПП. ИНН 7702834240. erid: LjN8KN7aNРеклама ООО «Амаяма Авто». erid:2VfnxweAA9v","2015-12-18T22:11:37Z","1720000","820","Канал предназначен исключительно для  стримов и прямых включений с мобилки/ноута по самым необычным поводам )По вопросам рекламы и сотрудничества:academeg@a-proved.ruhttps://vk.com/id243994326","https://yt3.ggpht.com/ytc/AIdro_m8g71BMtnsh5mtiwzyZDf7dvvxlwSPz8Gm0naoipABOfA=s88-c-k-c0x00ffffff-no-rj","RU","451052953","N/A","https://www.youtube.com/channel/UCEVNTzTFSGkZGTjVE9ipXpg"
"gNVXgej_VKE","Цените друг друга)часть1. тгк-Колян Карелия #юмор #прикол #roblox","2024-10-22T11:30:08Z","UC_TNsjXRnRioNmVVMpL7fBQ","Kolyan_karelia","23","https://www.youtube.com/watch?v=gNVXgej_VKE","24.22.10","[none]","114835","3375","105","https://i.ytimg.com/vi/gNVXgej_VKE/default.jpg","False","False","","2015-01-03T17:23:51Z","152000","375","Приветсвую Вас,дорогие подписчики!Ссылки тут!🛑👇🛑👇🛑👇На моем канале вы увидите короткие юмористические ролики!18+цензура.В этих видео-роликах,кто-то узнает себя,кто-то просто посмеётся и поднимет себе настроение! Каждый день для Вас,я стараюсь выкладывать новые смешные,короткие ролики!ПОДПИСЫВАЙТЕСЬ и ПОГНАЛИ!Мой YouTube канал - это сборник трэндов,на разные темы,на вкус и цвет)О себе:обычный работяга с завода!","https://yt3.ggpht.com/rDbx91Za0Ad-nILexzbGzWvD0XgjkbQA37wvrt93yZ3wAoWDFGXQ4jBnTO9xghNdO_0_WdMoiA=s88-c-k-c0x00ffffff-no-rj","RU","83561553","N/A","https://www.youtube.com/channel/UC_TNsjXRnRioNmVVMpL7fBQ"
"iMZfedvLFUk","Pappa Ka Chicken Dance🤣 #zidaanshahidaly #familycomedy  #shorts","2024-10-20T08:30:15Z","UCs2IckGd_d8kfZGAacfT2AA","Zidaan Shahid Aly","22","https://www.youtube.com/watch?v=iMZfedvLFUk","24.22.10","[none]","16294623","338489","705","https://i.ytimg.com/vi/iMZfedvLFUk/default.jpg","False","False","","2021-07-18T12:27:04.134344Z","15400000","3783","Hi I m Zidaan Shahid Aly.. its me Zidaan meri jaan..TEAM FAMILY❤️❤️INDIAN🇮🇳YOUTUBERCelebrating Life🌹🫶🏻Thanks A ton🙏🤲❤ For Love n Blessingz3 million Instagram familyInstagram I'd :- @itsmezidaanmerijaanRewarded with Diamon Play Button…Keep loving ... Keep Blessing... ❤️❤️❤️❤️Thanku for visting my channel..Please dont forget to subscribe🤟🏻🙏🥰","https://yt3.ggpht.com/YZrLRChldJ9kgEEOr7GYnRu2rlsPxitDq5jthC6blenbs5uBIpbMPQLr8JQ6-_Fsf40VX-pG=s88-c-k-c0x00ffffff-no-rj","IN","8097246514","zidaanshahidaly Zidaan","https://www.youtube.com/channel/UCs2IckGd_d8kfZGAacfT2AA"
"AywE5WPqzn0","ТЕСЛА КИБЕРТРАК x WYLSACOM / РАЗГОН","2024-10-22T09:00:10Z","UCch4ZFkThmqtHF-iBMn7AIg","Разгон","2","https://www.youtube.com/watch?v=AywE5WPqzn0","24.22.10","разгон,авттопром,автомобили,лучшее авто,лучшие автомобили,обзоравтомобилей,атоэксперты,автошоу,авторазгоны,разгон шоу,автолюбители,автодороги,дороги россии,мотоциклы,обзор мотоциклов,шпеньков,дорохов,михеевпавлов,астафьев,асафьев,mediumquality,тесла,тесла кибертрак,WYLSACOM","356219","25104","1648","https://i.ytimg.com/vi/AywE5WPqzn0/default.jpg","False","False","ВАМ СЮДА https://mediumsport.ru/Как тебе такое Илон Маск?😎Самый обсуждаемый автомобиль этого года сегодня в «РАЗГОНЕ».🔥Четыре половозрелых мужчины обсуждают главную новинку 2024 года. Разбираемся и даем оценку творению Илона Маска.При участии экосистемы для геймеров Kupikod (https://bit.ly/3YiDxSa; https://vk.com/kupikod_com)Промокод: RAZGONhttps://www.drive2.ru/r/tesla/cybertruck/683496561073722778/0:00 - История от Михеева про то что никогда не надо унывать.4:03 - Начало.5:04 - Чем занимался Шпеньков в перерыве от съемок «Разгона». 7:14 - Чем занимался Стас. «Империя без автомобилей».9:55 - Какую жуть сотворили Дорох и Михеев. «На ИЖе за ИЖом».12:02 - Чем занимались Михеев и Павлов. 13:48 - Новость. Американке не хотели выдавать права, потому что она сдавала экзамен не Тесле. 19:22 - Новость. ВАЗ - 2105. Вошел в десятку самых популярных автомобилей в мире. 22:58 - Новость. Власти Татарстана расширили список нарушений, за фиксацию которых в приложении «Народный инспектор» можно получить деньги. 29:10 - Новость. В России на трассе М-11 запустили полностью беспилотные грузовики. 33:08 - Новость. В США запретят использовать софт из Китая и России в автомобилях с доступом в интернет. 35:15 - Тема выпуска - Tesla Cybertruck.37:08 - Обзор Дороха х Wylsacom. 46:54 - Обсуждение и оценка Дороха.53:23 - Обзор Шпенькова.1:04:58 - Обсуждение и оценка Шпенькова.1:08:30 - Обзор Асафьева.1:20:52 - Обсуждение и оценка Асафьева.1:23:02 - Обзор Михеева.1:31:55 - Обсуждение и оценка Михеева.1:36:00 - Общий рейтинг автомобилей «Разгона».1:36:10 - Итоги выпуска.Стас Асафьев https://www.youtube.com/@AsafevStashttps://www.youtube.com/@AsafevLifehttps://t.me/asafevstashttps://vk.com/asafevstasДенис Дорохов https://youtube.com/@DorohovDenishttps://t.me/DenisDorokhov1987https://vk.com/doroxovdenisДенис Михеевhttps://youtube.com/@miheevipavlovhttps://t.me/miheevpavlov_prohttps://vk.com/club221130436Дмитрий Шпеньковhttps://vk.com/club227426309https://youtube.com/@shpenkovhttps://t.me/shpenkovhttps://vk.com/dmitryshpenkov#асафьев #михеевипавлов #дорохов #шпеньков #разгон #автошоу #тестдрайв #mediumquality #михеев #павлов #tesla #cybertruck #илонмаск","2024-03-12T13:12:00.570926Z","424000","102","По всем вопросам:  razgonmqp@yandex.rutfvziyuq","https://yt3.ggpht.com/ZgZsI48Q5_Ha3JWz0UkohQvNs8Ut4q0Y7EKmCGrxNWGLEwL2qcme0y2xpvnJ6ubn7BefylaQ=s88-c-k-c0x00ffffff-no-rj","RU","55865128","автомобили шоу про автомобили tfvziyuq","https://www.youtube.com/channel/UCch4ZFkThmqtHF-iBMn7AIg"
"92SBZ-5cXCs","Как не носить с собой вещи","2024-10-21T10:39:06Z","UCHCqFvxpDaeXu345_uNZ7qg","Miracle","22","https://www.youtube.com/watch?v=92SBZ-5cXCs","24.22.10","[none]","1216714","36969","63","https://i.ytimg.com/vi/92SBZ-5cXCs/default.jpg","False","False","","2018-03-10T11:37:10Z","5570000","736","miracle@wildjam.ru","https://yt3.ggpht.com/ytc/AIdro_lKw7B67aEUJ3W9F2c9gdjddsBMIYL-rm-Qqg-nxVqDEEQ=s88-c-k-c0x00ffffff-no-rj","N/A","2781966808","N/A","https://www.youtube.com/channel/UCHCqFvxpDaeXu345_uNZ7qg"
