Channel_ID,Palavra_Chave,Trending_Date
UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Game,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Epic,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Games,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Gameplay,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Trailer,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Live,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Stream,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Epic,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Games,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Battle,2024-11-02
UClG8odDC8TS6Zpqk9CGVQiQ,Royale,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,photography,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,dance,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,challenge,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,dance,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,moms,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,10,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,minute,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,challenge,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,photo,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,contortion,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,acro,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,tiktok,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,24,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,hours,2024-11-02
UCKaCalz5N5ienIbfPzEbYuA,salish,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,watch,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,movies,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,movies,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,online,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,watch,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,TV,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,online,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,TV,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,shows,2024-11-02
UCWOA1ZGywLbqmigxE4Qlvuw,online,2024-11-02
