video_id,title,publishedAt,channelId,channelTitle,categoryId,video_url,trending_date,tags,view_count,likes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,channel_creation_date,channel_subscriber_count,channel_video_count,channel_description,channel_image,channel_country,channel_total_views,channel_keywords,channel_url
"QhJK9UMGiV8","Valijon Shamshiyev - Jarima zarbasi (Qirg’iziston 29.05.2022) #shortsvideo","2024-10-20T09:00:32Z","UCOVIeCMdDsJ5piPQuc1_bkw","Mirzo teatr","23","https://www.youtube.com/watch?v=QhJK9UMGiV8","24.20.10","Нетфликс,Трейлер,Азия,Шоу,Концерт,Мирзо театр,Мирзабек Холмедов,Фильм,Спорт,Юмор,Юморист,Комедия,Фильм 2024,Apple,Apple tv,Netflix,Trailer,Tv show,Mirzabek Xolmedov,Mirzo teatr,Music video,Humor,Funny,Sport,Football,Soccer,Show,Tv series,Show time,Comedy,Comedy club,Mirzo teatr 2024,Rizanova,Rizanova uz,Interesting,Interview,Vevo,Top shorts video,Vine,O’zbekfilm,O’zbek kino","153419","1852","0","https://i.ytimg.com/vi/QhJK9UMGiV8/default.jpg","True","False","Follow Mirzabek Xolmedov: https://www.instagram.com/mirzabekxolmedovhttps://www.facebook.com/XolmedovMirzabek/http://www.youtube.com/MirzoTeatr/«Мирзо» театри шодлик демакдир,«Мирзо» театри қувонч бағшловчи, кулгу улашувчи ва яхши кайфият тақдим этувчи, кулгу эстрадасининг оригинал жанрида ижод қилувчи ноёб театрларнинг, театридур. «Мирзо» театри сизнинг театрингиз.#mirzabekxolmedov #mirzoteatr","2017-02-24T18:04:32Z","1230000","2707","Mirzabek Xolmedov & Mirzo Teatr Official channelБиография:Холмедов Мирзатилла Нигматуллаевич Дата рождения13 декабрь 1961Место рожденияТашкент, Узбекистан Узбекская ССР, СССРПрофессииактёр, юморист,пародист, певец, автор песенГоды активности1978—наст.времяНаграды:1989 - Победитель отборочного конкурса «Юморист 89» (Кизикчи 89) (Уз.СССР). 1992 - Был вручен Диплом За развитие кино - Finas (National Film Development Corporation Malaysia) Finas (Национальная корпорация развития кино Малайзии) 1995 - 30 август Заслуженный артист Узбекистана 1998 - А также награжден национальной премией «Замин юлдузлари» (Звезды вселенной)2013 - 14 июля  Награжден во II Международном фестивале - «Мир Юмора» состоявшемся в городе Шымкент2018 - 5 марта Награждён национальной премией «За бескорыстные заслуги» Mirzabek Xolmedov is an Uzbek pop comic artist, actor, singer, humorist, People's Artist of Uzbekistan and Asia.Администратор: +998983382626 / +998909849900","https://yt3.ggpht.com/GvmgtCMMjKWRo7QK74CG3ZHA8edGZgB-DxH_wZth_v7Fi_KvcCTR8rt6iY4OpMEcMuZ6-E4A=s88-c-k-c0x00ffffff-no-rj","US","434009891","Mirzabek Xolmedov Mirzo Teatr Мирзабек Холмедов Мирзо театр humor юмор music concert movie","https://www.youtube.com/channel/UCOVIeCMdDsJ5piPQuc1_bkw"
"sHLwExP43y8","РАЗЪЯСНИЛ РОСГВАРДИИ ПО ЗАКОНУ. ПАРАШНИК КИДАЕТСЯ НА ПОКУПАТЕЛЯ. ЗАДЕРЖАЛИ ПОКУПАТЕЛЯ? 1ЧАСТЬ","2024-10-20T08:00:39Z","UC42SIHeNRlQLtGKS7YSL1tw","ARTEM WOLF","24","https://www.youtube.com/watch?v=sHLwExP43y8","24.20.10","просрочка,полиция,менты,мусора,гаи,дпс,гибдд,росгвардия,разъяснил по закону,поставил борзого мента на место,артем вульф,артем вольф,wolf,artem wolf,безнаказанность,неграмотность,юрист,съел товар до оплаты,превышение полномочий,вызвали полицию,мент быкует,провокация,беззаконие,разъяснил полиции по закону,охрана,задержание,незаконное задержание,пьяное быдло,предложил выйти поговорить,беспредел,не выпускают из магазина,заявление,бездействие,полиция не знает закон,дикси","419234","24331","1974","https://i.ytimg.com/vi/sHLwExP43y8/default.jpg","False","False","Boosty (для карт РФ): https://boosty.to/wolffPatreon (для зарубежных карт): https://www.patreon.com/awolffПродолжение этого видео уже доступно по ссылкам выше, либо можно подождать следующего воскресенья, и оно выйдет на YouTube бесплатно! Так же по ссылкам выше вы найдете эксклюзивные видео, которых не будет на ютубе, мою правовую базу, закрытый чат и многое другое.Игра World of Warcraft, проект Sirus: https://sirus.cc/artemwolf (игра бесплатная!)Стримы по легендарной игре WoW каждое воскресенье в 18:00 по МСК на этом канале! Играем на сервере х5 за Альянс!Розыгрыш на 50.000руб.: https://t.me/artem_wolff/3106Телеграм канал: https://t.me/artem_wolffТГ канал про криптовалюту: https://t.me/awolfcryptoТелеграм канал Насти (оператора): https://t.me/anastasia_krasina3Развлекательный YouTube канал: https://www.youtube.com/@WolffShowTelegram канал с Life контентом: https://t.me/wolffshowИнстаграм*: https://instagram.com/artem_wolffКанал Максима (МаксимКа Проверит) - https://www.youtube.com/@MaksimKaProveritРеклама и сотрудничество: artemwolfpr@mail.ruТГ (реклама, сотрудничество): https://t.me/worldman_prМагазин Надежда (ООО Надежда НМ 875). Дата съемки: 07.07.23Адрес магазина: Москва, ул. 3-я парковая, д. 22.Разовое денежное пожертвование (для всех стран): https://www.donationalerts.com/r/artem_wolffПредупреждаем о том, что содержимое данного видео, а так же сообщений и комментариев, является субъективным мнением авторов. Данное видео не является призывом к действию, никоим образом не имеет цели кого-то оскорбить, запугать или унизить. К сведению подписчиков и зрителей - администрация канала (сайта, страницы) не может проверить достоверность всей размещаемой информации, что необходимо учитывать при ознакомлении и размещении своих комментариев.Автор настоятельно не рекомендует повторять увиденное!Все слова и кадры в видео носят информационный характер и не являются призывом к действию или финансовой рекомендацией. Данное видео, как и слова автора, ни в коем случае не способствует разжиганию межнациональной розни и не имеет цели разжигать рознь, равно как и не имеет цели оскорбить или унизить кого-то по национальному или любому другому признаку!*Тверской суд Москвы признал компанию Meta, владеющую соцсетями Facebook и Instagram, экстремистской организацией и постановил запретить их деятельность на территории РФ.","2020-03-14T16:36:56.417146Z","2450000","170","Канал о любви и взаимоотношениях между потребителем и продавцом.Научу защищать права потребителя, общаться с полицией и охраной. Tg канал: t.me/artem_wolffРеклама и сотрудничество: artemwolfpr@mail.ruТГ (реклама, сотрудничество): https://t.me/worldman_prМенеджеры, которые работают с каналом и могут от имени канала продавать рекламу:PRninakazakova@yandex.ruwolf@hevy.mediawolfe.official@mail.ru  artemwolf.pr@gmail.comwolf@bbf.media","https://yt3.ggpht.com/ytc/AIdro_kBBq4rc6Is-ynPrj-Uif0d4nCh4FXwhCO50ZwZ2DV5-dU=s88-c-k-c0x00ffffff-no-rj","TH","495438462","artem wolf артём вольф артем вольф просрочка обзор магазинов как поесть бесплатно полиция охрана продавцы защита прав потребителей просрочка патруль фото видео закон запрет менты полиция незаконно жалоба претензия охрана проверка волков права потребителя лайфхак нападение","https://www.youtube.com/channel/UC42SIHeNRlQLtGKS7YSL1tw"
"KH_Tet3OQZE","Nutella &GO Chocolate Dipping | ASMR","2024-10-15T08:55:50Z","UC6KlT7OyOB9PV_s76ceYIKw","JuTOS tv","24","https://www.youtube.com/watch?v=KH_Tet3OQZE","24.20.10","[none]","4698334","62045","0","https://i.ytimg.com/vi/KH_Tet3OQZE/default.jpg","True","False","Nutella &GO Chocolate Dipping | ASMR#Shorts  #ASMR  #Mukbang  #Dessert #Chocolate  #Magnum #Icecream  #Nutella #Twix  #Mars  #NoTalking #ASMREating #eatingsounds #eatingshow  #Yummy #Chocolate #Nutella #Food #Oreo  #IceCream #ASMR #Eating #Satisfying #Dairy Milk #Relaxing #Smooth","2021-04-22T21:23:55.424426Z","4170000","1201","Check out the JuTOS tv YouTube channel for the most delicious chocolate videos featuring Nutella, KitKat, DairyMilk, Oreo & many more!Don't miss out on the best selection of many daily & exclusive chocolate videos.Subscribe now to our channel for daily updates. JuTOS Social Entertainment.","https://yt3.ggpht.com/Xxn2A5XYiGzCIIlagrdlvQuW3WHtW8bSZgQbu-5dHrredfT-9V1T8XO7NTe1R4JkM0h8YuKboA=s88-c-k-c0x00ffffff-no-rj","MA","4690660574","Chocolate Food Ice cream Cake Cake decorating Rainbow cake Homemade chocolate","https://www.youtube.com/channel/UC6KlT7OyOB9PV_s76ceYIKw"
"TPu5jkhPQzI","ЭКСПЕРИМЕНТЫ КОТОРЫЕ НЕЛЬЗЯ ПОВТОРЯТЬ - ОТ 1 ДО 100 УРОВНЯ","2024-10-20T14:38:12Z","UCU_yU4xGT9hrVFo6euH8LLw","SlivkiShow","24","https://www.youtube.com/watch?v=TPu5jkhPQzI","24.20.10","эксперименты,наука,опыты,лед,вода,кола,воск,огонь,яблоко","492842","40975","2062","https://i.ytimg.com/vi/TPu5jkhPQzI/default.jpg","False","False","Сотрудничество - slivkishowit@gmail.comTelegram - https://t.me/slivkishow_youtubeInstagram - https://www.instagram.com/slivki_kuki/","2012-12-11T08:59:55Z","20900000","494","SlivkiShow - это интересные и познавательные видео каждую неделю.Сотрудничество и предложения - slivkishowit@gmail.comhttps://t.me/slivkishow_youtube","https://yt3.ggpht.com/ytc/AIdro_ltH61OHjdfZ0cR4BzxSUh38vJCTPrjOTiA1dLZID_Y1dc=s88-c-k-c0x00ffffff-no-rj","IT","5085741118","лайфхаки DIY куки сливки aliexpress террариум эксперименты","https://www.youtube.com/channel/UCU_yU4xGT9hrVFo6euH8LLw"
"6-upJR0awN8","From Small To Really Giant Fanta #katebrush #shorts #viral","2024-10-17T13:04:28Z","UCsiMxHAf0sS4VzwOy9P0lvA","Kate Brush","24","https://www.youtube.com/watch?v=6-upJR0awN8","24.20.10","[none]","6410722","206431","242","https://i.ytimg.com/vi/6-upJR0awN8/default.jpg","False","False","","2019-09-23T10:26:39Z","8460000","2299","Please help us reaching 10 000 000 - subscribe to our channel and don't forget to turn on the notification button: https://www.youtube.com/katebrush?sub_confirmation=1","https://yt3.ggpht.com/ytc/AIdro_k_buNKM1THbqNFXLYG6svVP-8wT8NhPAlk90lzaZy9seQ=s88-c-k-c0x00ffffff-no-rj","US","7154203461","kate brush tik tok tiktok shorts funny video tiktok compilation katebrush shorts magical video тикток тик ток кейт браш shorts compilation magic magic videos tutorial TikTok edit","https://www.youtube.com/channel/UCsiMxHAf0sS4VzwOy9P0lvA"
"W93V_I_PdPI","ЖЕСТКИЙ БОЕВИК! САМОУЧКА ПРОТИВ ЛИЧНОГО ТЕЛОХРАНИТЕЛЯ ГЛАВАРЯ МАФИИ! Кровь и кость! Русский фильм","2024-10-20T12:06:21Z","UCJo4LjJrlL67M6A3GGPRd7Q","FilmsHD","1","https://www.youtube.com/watch?v=W93V_I_PdPI","24.20.10","русский фильм 2024,боевик 2024,НОВИНКИ 2024,мелодрамы 2024,мелодрамы 2024 новинки,фильмы 2024 новинки,русские фильмы 2024,фильмы россия 2024,фильмы 2024 года,мелодрамы русские 2024,интересные фильмы,фильм 2024,новые фильмы новинки,новые сериалы,русское кино 2024,novinki melodram 2024,melodramy russkiye 2024,смотреть фильм,фильмы онлайн,новинки 2024,русские сериалы 2024","245864","1454","70","https://i.ytimg.com/vi/W93V_I_PdPI/default.jpg","False","False","ЖЕСТКИЙ БОЕВИК! САМОУЧКА ПРОТИВ ЛИЧНОГО ТЕЛОХРАНИТЕЛЯ ГЛАВАРЯ МАФИИ! Кровь и кость! Русский фильм История таинственного бродяги по имени Исай Бон, который начинает участвовать в уличных драках, в глухих переулках Лос-Анджелеса, чтобы выполнить обещание данное умершему другу... Подписаться на канал https://www.youtube.com/channel/UCJo4LjJrlL67M6A3GGPRd7Q","2021-07-15T15:08:30.419228Z","2010000","691","Dear viewers, subscribers and copyright owners,This channel is owned by Primefilms LLC and is included in a licensed network of YouTube channels with movies and TV series. Subscribe to the channel and watch full movies and TV series! ","https://yt3.ggpht.com/KKzXpjU12mt2-TutQNU53WAnIp65U7EiP5RfAMmRHR2j8gS3J48Hmq0KuoC9w-QjjuukggDQWg=s88-c-k-c0x00ffffff-no-rj","N/A","696997052","N/A","https://www.youtube.com/channel/UCJo4LjJrlL67M6A3GGPRd7Q"
"VmBVYbGzIRo","Chicky Boom #настольныеигры #boardgames #игры #games #настолки #настольные_игры","2024-10-20T09:15:33Z","UCV3mPzO3zBnWI1hAx9_R_ZQ","Двое играют | Наташа и Вова","24","https://www.youtube.com/watch?v=VmBVYbGzIRo","24.20.10","[none]","579167","22747","59","https://i.ytimg.com/vi/VmBVYbGzIRo/default.jpg","False","False","","2012-07-20T03:55:46Z","1010000","237","настолки, челленджи и другие лекарства от скукиdvoeplay@gmail.com 👆 по всем вопросам","https://yt3.ggpht.com/CMQMYpmf55nwUTCk1W2HAZNCODOq9PYRiHNT4jlkfYzQSULEiVZ5HIFbFx-FDLw4XS-dmwv5Wng=s88-c-k-c0x00ffffff-no-rj","N/A","1155643136","N/A","https://www.youtube.com/channel/UCV3mPzO3zBnWI1hAx9_R_ZQ"
"PyrPw4F8lig","У него не было ни ДОМА, ни ДЕНЕГ, ни ЕДЫ. Но у него БЫЛА МЕЧТА😢😢😢 #shorts","2024-10-19T17:00:27Z","UC8CfwveqA2mHijFwDx50diw","BalcevMMA_BOXING","17","https://www.youtube.com/watch?v=PyrPw4F8lig","24.20.10","мма,бой,ufc,mma","835641","34165","162","https://i.ytimg.com/vi/PyrPw4F8lig/default.jpg","False","False","#shorts #бой #мма #нокаут #mmaCopyright Notice: In accordance with Section 107 of the Copyright Act of 1976, this material is used under the 'fair use' provision for activities such as criticism, commentary, news reporting, teaching, scholarship, and research.(Уведомление об авторских правах: В соответствии с разделом 107 Закона об авторском праве от 1976 года, этот материал используется в соответствии с положениями о добросовестном использовании для таких видов деятельности, как критика, комментарии, новостные репортажи, преподавание, стипендии и исследования)Если вы считаете, что видео нарушает ваши авторские права: по вопросам удаления и авторских прав - ufc2269393@mail.ru","2018-03-16T15:06:48Z","2310000","946","Бонус тут👇Если мы нарушили авторское право, то напишите пожалуйста нам в телеграмм https://t.me/BALMEEE или на почту ufc2269393@mail.ru и мы удалим ваше видео! Мы не претендуем на авторство материала, из которого они изготовлены. Уведомление об авторских правах: В соответствии с разделом 107 Закона об авторском праве от 1976 года, этот материал используется в соответствии с положениями о добросовестном использовании для таких видов деятельности, как критика, комментарии, новостные репортажи, преподавание, стипендии и исследованияIf we have violated copyright, please write to us via telegram https://t.me/BALMEEE or email ufc2269393@mail.ru and we will delete your video! We do not claim ownership of the material from which they are made.Copyright Notice: In accordance with Section 107 of the Copyright Act of 1976, this material is used under the 'fair use' provision for activities such as criticism, commentary, news reporting, teaching, scholarship, and research.","https://yt3.ggpht.com/uVLjd3wFtBGuws4YaSrYfUwDix6v0_i_I0FA103EELX4pBQHly9r9phzZUDCeemHXF6du_8rEg=s88-c-k-c0x00ffffff-no-rj","RU","2601206119","мма бои бой Ufc юфс нокаут нокауты balcevmma mma поединок смешанные единаборства бокс","https://www.youtube.com/channel/UC8CfwveqA2mHijFwDx50diw"
"0sTHg5gS9Q4","Старый уролог подсказал: даже в 80 лет недержание пройдет навсегда, если…","2024-10-20T12:00:01Z","UCjbLX05VnkZAmnmNp-_CUkA","Здоровье и Долголетие","22","https://www.youtube.com/watch?v=0sTHg5gS9Q4","24.20.10","здоровье,медицина,мочевой пузырь,гиперактивный мочевой пузырь,цистит,цистит у женщин,лечение цистита,чай от цистита,как лечить цистит,народная медицина,здоровье и долголетие,долголетие,недержание,лечение недержания,упражнения Кегеля,народные средства,контроль мочевого пузыря,профилактика недержания,как справиться с недержанием,упражнения для тазовых мышц,советы уролога,китайская народная медицина","179874","5891","192","https://i.ytimg.com/vi/0sTHg5gS9Q4/default.jpg","False","False","⚡ Импловит — физиотерапия дома: https://yukond.ru/vse-tovaryОзон: https://ozon.ru/t/P6qYQk2?Вайлдберриз: https://www.wildberries.ru/seller/260?Реклама. ООО МНПФ «ЮКОНД» ИНН 6324065224Недержание больше не проблема! Узнайте, как победить эту деликатную неприятность с помощью простых упражнений, народных рецептов и советов экспертов. Разберем причины, связанные с возрастом, стрессом и образом жизни. Мы расскажем, как поддерживать здоровье мочевого пузыря и улучшить качество жизни в любом возрасте. Не откладывайте решение – начните бороться с недержанием прямо сегодня!0:00 Почему недержание так трудно вылечить?0:48 Сегодня в нашем ролике2:13 Почему возникает недержание?6:34 Что запускает процесс недержания?8:43 Гиперактивность мочевого пузыря — это как?14:00 Какие упражнения избавят от недержания?16:45 Почему упражнения Кегеля не помогают?18:05 Какие народные рецепты спасают при недержании?21:10 Питание при недержании23:17 Какой секрет от недержании знают китайцы?27:46 Как лечить стрессовое недержание?35:32 Типичный случай🌟Cсылка на Памятку Памятка о днедержании :https://t.me/PRODOLGOLETIE_TG/🌟О нашем эксперте: Горбатенко Наталья Валерьевна (Почетный донор РФ, Акушерство и гинекология , ультразвуковая диагностика. Занимается проблемами тазового дна, хронической тазовой болью, циститами. Десятилетний опыт)🔗 Мы в социальных сетях:📱 Телеграм: https://t.me/PRODOLGOLETIE_TG📺 Резервный канал на Рутуб: https://rutube.ru/channel/25506612🌟 Откройте для себя секреты здоровья на канале Здоровье и Долголетие!🔗 Подписывайтесь на наш канал: https://www.youtube.com/@PRODOLGOLETIE/🌿 На нашем канале вы найдете:🫀 Сердечно-сосудистые заболевания и мозг: стратегии для здорового сердца и сосудов мозга.🦵 Лечение варикоза и грибка: проверенные методы для вен и кожи.👁️ Улучшение зрения: современные и народные рецепты для глаз.💊 Фармацевтика: разбираемся в лекарствах для безопасности и эффективности.🍏 Здоровое питание: польза и вред доступных продуктов.🕊️ Долголетие: секреты увеличения продолжительности жизни.🧬 Мудрость и наследие: ценные знания от врачей Гениев из СССР и народная медицина разных стран.🌟 Лучшие ролики на нашем канале:🔗 Смотрите здесь: https://www.youtube.com/playlist?list=PLSd7e7QQnKBvzGmNOP9TH2P2Q-5yi9qG-⚠️ Важно: Наш канал носит информационный характер и не заменяет профессиональную медицинскую консультацию. Все рекомендации основаны на данных из открытых источников и должны быть согласованы с вашим лечащим врачом. Мнение редакции канала может не совпадать с мнением авторов используемых материалов.💖 Поддержите нас:👍 Лайк, комментарий и подписка помогают нашему каналу развиваться!🏷️ Хештеги:#ЗдоровьеИДолголетие #НароднаяМедицина","2019-05-03T09:44:55Z","2960000","1745","Здоровье и Долголетие: От народных секретов до научных методовЛучшие рекомендации для здоровья сердца, сосудов, кишечника, ухода за суставами, улучшения зрения, лечения хронических заболеваний, грибка и многих других. Объединяем доказательную медицину и народные методы для вашего здоровья и долголетия.🌿 Наши специализации:🫀 Сердечно-сосудистые заболевания и мозг: стратегии для здорового сердца и сосудов мозга.🦵 Лечение варикоза и грибка: проверенные методы для вен и кожи.👁️ Улучшение зрения: современные и народные рецепты для глаз.💊 Фармацевтика: разбираемся в лекарствах для безопасности и эффективности.🍏 Здоровое питание: польза и вред доступных продуктов.🕊️ Долголетие: секреты увеличения продолжительности жизни.🧬 Мудрость и наследие: ценные знания от врачей Гениев из СССР и народная медицина разных стран.👩‍⚕️ ВНИМАНИЕ: Консультация с врачом обязательна!📧 По вопросам рекламы и сотрудничества: ytchannelctrl@gmail.com🔒 Все материалы канала защищены авторским правом. ","https://yt3.ggpht.com/bZ-t36ve2AhBg7KU-BXQMVWYOJnJ3mfgJr2U5-Y-jnp459N8V6xCAvNQLiKwtASJTFosuTZDyA=s88-c-k-c0x00ffffff-no-rj","RU","589076157","здоровье долголетие как лечить для здоровья медицина как вылечить народное средство народные средства инсульт болезнь здоровье и долголетие","https://www.youtube.com/channel/UCjbLX05VnkZAmnmNp-_CUkA"
"9UtcHPCEBgg","1 Subscriber = 1 Penny","2024-10-19T18:00:00Z","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast","24","https://www.youtube.com/watch?v=9UtcHPCEBgg","24.20.10","[none]","41034352","2948998","6304","https://i.ytimg.com/vi/9UtcHPCEBgg/default.jpg","False","False","","2012-02-20T00:43:50Z","322000000","823","SUBSCRIBE FOR A COOKIE!Accomplishments:- Raised $20,000,000 To Plant 20,000,000 Trees- Removed 30,000,000 pounds of trash from the ocean- Built wells in Africa- helped 1,000 blind people see- helped 1,000 deaf people hear- Given millions to charity- Started my own snack company Feastables- Donated over 100 cars lol- Gave away a private island (twice)- Gave away 1 million dollars in one video- Counted to 100k- Read the Dictionary- Read Bee Movie Script- Read Longest English Word- Watched Paint Dry- Ubering Across America- Watched It's Every Day Bro For 10 Hours- Ran a marathon in the world's largest shoes- Adopted every dog in a shelter- Bought $1,000,000 in lottery tickets- Sold houses for $1- I got buried alive- Recreated Squid Game in real life- Gave away a chocolate factory- Gave away private jet- Survived 50 hours in AntarcticaYou get the point haha*Do not email me asking for money, I give away money because it makes me happy :)","https://yt3.ggpht.com/fxGKYucJAVme-Yz4fsdCroCFCrANWqw0ql4GYuvx8Uq4l_euNJHgE-w9MTkLQA805vWCi-kE0g=s88-c-k-c0x00ffffff-no-rj","US","61293674281","mrbeast6000 beast mrbeast Mr.Beast mr","https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA"
